Index;P_el;Q_Heiz;Q_WW;Q_gesamt
1;440.659;4425.92;0;4425.92
2;419.509;4917.45;0;4917.45
3;960.138;5408.98;0;5408.98
4;2292.06;5900.5;0;5900.5
5;449.546;6392.03;0;6392.03
6;230.201;6846.97;0;6846.97
7;960.006;7301.91;0;7301.91
8;279.241;7756.85;0;7756.85
9;96.469;8211.79;0;8211.79
10;96.519;8465.77;0;8465.77
11;963.857;8719.76;0;8719.76
12;245.862;8973.74;0;8973.74
13;963.173;9227.73;0;9227.73
14;961.339;9368.04;0;9368.04
15;963.673;9508.36;0;9508.36
16;261.384;9648.67;0;9648.67
17;962.342;9788.99;0;9788.99
18;963.676;9861.24;0;9861.24
19;964.009;9933.49;0;9933.49
20;962.342;10005.7;0;10005.7
21;245.152;10078;0;10078
22;96.144;10084.7;0;10084.7
23;962.606;10091.4;0;10091.4
24;251.389;10098.2;0;10098.2
25;960.026;10104.9;0;10104.9
26;960.526;10101.4;0;10101.4
27;265.519;10097.9;0;10097.9
28;960.526;10094.5;0;10094.5
29;957.006;10091;0;10091
30;959.506;10066.6;0;10066.6
31;269.588;10042.3;0;10042.3
32;182.678;10018;0;10018
33;2311.19;9993.62;0;9993.62
34;2273.18;9933.22;0;9933.22
35;357.121;9872.81;0;9872.81
36;167.096;9812.41;0;9812.41
37;160.531;9752.01;0;9752.01
38;3780.49;9738.1;0;9738.1
39;954.645;9724.19;0;9724.19
40;254.944;9710.28;0;9710.28
41;106.288;9696.37;0;9696.37
42;106.255;9618.58;0;9618.58
43;106.455;9540.79;0;9540.79
44;261.761;9463;0;9463
45;953.185;9385.22;0;9385.22
46;954.352;9289.33;0;9289.33
47;953.185;9193.45;0;9193.45
48;956.352;9097.56;0;9097.56
49;243.355;9001.68;0;9001.68
50;1302.32;9028.49;0;9028.49
51;1235.79;9055.3;0;9055.3
52;336.71;9082.12;0;9082.12
53;276.819;9108.93;0;9108.93
54;125.386;8976.91;0;8976.91
55;135.603;8844.89;0;8844.89
56;145.603;8712.87;0;8712.87
57;338.784;8580.85;0;8580.85
58;165.639;8483.97;0;8483.97
59;175.339;8387.09;0;8387.09
60;951.339;8290.21;0;8290.21
61;95.053;8193.33;0;8193.33
62;247.606;8235.28;0;8235.28
63;95.053;8277.24;0;8277.24
64;95.153;8319.2;0;8319.2
65;949.985;8361.15;0;8361.15
66;952.318;8600.44;0;8600.44
67;244.878;8839.73;0;8839.73
68;954.651;9079.03;0;9079.03
69;951.377;9318.32;0;9318.32
70;949.877;9381.94;0;9381.94
71;272.246;9445.55;0;9445.55
72;94.971;9509.17;0;9509.17
73;950.925;9572.79;0;9572.79
74;950.258;9425.17;0;9425.17
75;953.758;9277.54;0;9277.54
76;247.577;9129.92;0;9129.92
77;952.044;8982.29;0;8982.29
78;952.044;8840.44;0;8840.44
79;239.496;8698.59;0;8698.59
80;393.559;8556.74;0;8556.74
81;951.377;8414.9;0;8414.9
82;233.563;8292.9;0;8292.9
83;245.788;8170.91;0;8170.91
84;235.463;8048.91;0;8048.91
85;648.605;7926.91;0;7926.91
86;470.498;7936.95;0;7936.95
87;474.273;7946.99;0;7946.99
88;449.348;7957.03;0;7957.03
89;472.914;7967.07;0;7967.07
90;315.21;7902.65;0;7902.65
91;312.352;7838.22;0;7838.22
92;318.127;7773.8;0;7773.8
93;483.992;7709.38;0;7709.38
94;308.873;7647.52;0;7647.52
95;278.39;7585.67;0;7585.67
96;951.151;7523.81;0;7523.81
97;277.751;7461.95;0;7461.95
98;949.157;7517.92;0;7517.92
99;949.157;7573.89;0;7573.89
100;947.324;7629.86;0;7629.86
101;243.849;7685.82;0;7685.82
102;946.301;7712.46;0;7712.46
103;943.801;7739.1;0;7739.1
104;947.468;7765.73;0;7765.73
105;260.43;7792.37;0;7792.37
106;947.468;7829.32;0;7829.32
107;946.134;7866.26;0;7866.26
108;947.468;7903.2;0;7903.2
109;947.818;7940.15;0;7940.15
110;243.679;7963.36;0;7963.36
111;948.318;7986.57;0;7986.57
112;948.318;8009.79;0;8009.79
113;250.876;8033;0;8033
114;949.652;8057.94;0;8057.94
115;949.985;8082.87;0;8082.87
116;265.999;8107.81;0;8107.81
117;949.824;8132.75;0;8132.75
118;949.157;8151.26;0;8151.26
119;950.324;8169.78;0;8169.78
120;258.74;8188.3;0;8188.3
121;950.925;8206.81;0;8206.81
122;951.425;8164.53;0;8164.53
123;948.925;8122.25;0;8122.25
124;277.982;8079.98;0;8079.98
125;948.544;8037.7;0;8037.7
126;951.044;8036.98;0;8036.98
127;364.838;8036.27;0;8036.27
128;329.629;8035.56;0;8035.56
129;243.834;8034.85;0;8034.85
130;951.363;7960.2;0;7960.2
131;95.053;7885.55;0;7885.55
132;95.053;7810.9;0;7810.9
133;251.312;7736.25;0;7736.25
134;948.377;7626.1;0;7626.1
135;948.377;7515.94;0;7515.94
136;948.544;7405.78;0;7405.78
137;949.157;7295.62;0;7295.62
138;242.966;7065.52;0;7065.52
139;949.824;6835.42;0;6835.42
140;950.157;6605.32;0;6605.32
141;950.801;6375.23;0;6375.23
142;257.155;6431.68;0;6431.68
143;950.801;6488.13;0;6488.13
144;953.968;6544.59;0;6544.59
145;1632.37;6601.04;0;6601.04
146;1156.6;6424.04;0;6424.04
147;951.872;6247.05;0;6247.05
148;952.539;6070.05;0;6070.05
149;953.185;5893.05;0;5893.05
150;951.019;6000.66;0;6000.66
151;248.016;6108.27;0;6108.27
152;953.185;6215.87;0;6215.87
153;954.729;6323.48;0;6323.48
154;956.396;6727.25;0;6727.25
155;953.396;7131.01;0;7131.01
156;245.25;7534.78;0;7534.78
157;95.865;7938.55;0;7938.55
158;95.965;7930.74;0;7930.74
159;95.865;7922.94;0;7922.94
160;274.759;7915.13;0;7915.13
161;2270.49;7907.33;0;7907.33
162;2368.25;8208.24;0;8208.24
163;960.124;8509.16;0;8509.16
164;963.791;8810.08;0;8810.08
165;248.818;9111;0;9111
166;960.921;9259.37;0;9259.37
167;964.087;9407.74;0;9407.74
168;216.075;9556.11;0;9556.11
169;376.702;9704.48;0;9704.48
170;227.529;9856.86;0;9856.86
171;966.953;10009.2;0;10009.2
172;238.012;10161.6;0;10161.6
173;967.094;10314;0;10314
174;245.668;10399.6;0;10399.6
175;107.109;10485.3;0;10485.3
176;107.559;10571;0;10571
177;106.686;10656.6;0;10656.6
178;264.352;10698.7;0;10698.7
179;242.911;10740.7;0;10740.7
180;236.236;10782.8;0;10782.8
181;251.036;10824.9;0;10824.9
182;551.542;10743.8;0;10743.8
183;353.902;10662.8;0;10662.8
184;371.511;10581.8;0;10581.8
185;372.487;10500.8;0;10500.8
186;409.18;10612.6;0;10612.6
187;226.604;10724.4;0;10724.4
188;227.437;10836.2;0;10836.2
189;228.213;10948;0;10948
190;376.934;11027.7;0;11027.7
191;235.288;11107.3;0;11107.3
192;968.464;11186.9;0;11186.9
193;968.543;11266.5;0;11266.5
194;263.238;11349.3;0;11349.3
195;96.771;11432;0;11432
196;965.877;11514.7;0;11514.7
197;96.46;11597.4;0;11597.4
198;967.767;11645.6;0;11645.6
199;245.747;11693.7;0;11693.7
200;968.934;11741.9;0;11741.9
201;968.635;11790;0;11790
202;254.111;11875.2;0;11875.2
203;967.802;11960.4;0;11960.4
204;969.135;12045.6;0;12045.6
205;269.725;12130.8;0;12130.8
206;968.197;12197;0;12197
207;97.053;12263.1;0;12263.1
208;97.053;12329.2;0;12329.2
209;261.744;12395.3;0;12395.3
210;217.245;12457.6;0;12457.6
211;217.279;12519.8;0;12519.8
212;217.112;12582.1;0;12582.1
213;399.358;12644.3;0;12644.3
214;197.151;12626.2;0;12626.2
215;972.675;12608.1;0;12608.1
