#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality, correctness, completeness or quality of the information provided. Liability claims regarding damage caused by the use of any information provided, including any kind of information which is incomplete or incorrect,will therefore be rejected.
#file_info: --- Simulated load profile with synPRO --- number of occupants: 3 --- socioeconomic factor: ALL --- climate region: TRY2010_4_Jahr.dat --- total domestic hot water energy demand: 1668 ---  Building TypeSFH_1 ---  --- For more information contact D.Fischer, David.Fischer@ise.fraunhofer.de
#time resolution: 15Min
#col_no;col_name;unit;category;comment
#001;YYYYMMDD;0;time;Date [human readable]
#002;hhmmss;0;time;Time [human readable]
#003;unixtimestamp;s;time;Elapsed seconds from 01-01-1970
#004;Q_dhw;W;power;heating demand for water heating 
#005;simulated building	;SFH_1
#006;climate region	;TRY2010_4_Jahr.dat
#007;number of houses	;1
#008;number of apartments	;1
#009;number of occupants per apartment 	;3
#010;working pattern	;ALL
#011;total number of occupants 	;3
#012;specific DHW demand per person	;556;kWh/p
YYYYMMDD;hhmmss;unixtimestamp;Q_dhw
20150101;0;1420066800;0
20150101;1500;1420067700;0
20150101;3000;1420068600;0
20150101;4500;1420069500;0
20150101;10000;1420070400;0
20150101;11500;1420071300;0
20150101;13000;1420072200;0
20150101;14500;1420073100;0
20150101;20000;1420074000;0
20150101;21500;1420074900;0
20150101;23000;1420075800;0
20150101;24500;1420076700;0
20150101;30000;1420077600;0
20150101;31500;1420078500;0
20150101;33000;1420079400;0
20150101;34500;1420080300;0
20150101;40000;1420081200;0
20150101;41500;1420082100;0
20150101;43000;1420083000;0
20150101;44500;1420083900;0
20150101;50000;1420084800;0
20150101;51500;1420085700;0
20150101;53000;1420086600;0
20150101;54500;1420087500;0
20150101;60000;1420088400;0
20150101;61500;1420089300;0
20150101;63000;1420090200;0
20150101;64500;1420091100;0
20150101;70000;1420092000;0
20150101;71500;1420092900;0
20150101;73000;1420093800;0
20150101;74500;1420094700;0
20150101;80000;1420095600;0
20150101;81500;1420096500;0
20150101;83000;1420097400;0
20150101;84500;1420098300;0
20150101;90000;1420099200;0
20150101;91500;1420100100;0
20150101;93000;1420101000;0
20150101;94500;1420101900;0
20150101;100000;1420102800;0
20150101;101500;1420103700;0
20150101;103000;1420104600;0
20150101;104500;1420105500;0
20150101;110000;1420106400;0
20150101;111500;1420107300;0
20150101;113000;1420108200;0
20150101;114500;1420109100;0
20150101;120000;1420110000;0
20150101;121500;1420110900;0
20150101;123000;1420111800;0
20150101;124500;1420112700;0
20150101;130000;1420113600;0
20150101;131500;1420114500;0
20150101;133000;1420115400;0
20150101;134500;1420116300;0
20150101;140000;1420117200;0
20150101;141500;1420118100;0
20150101;143000;1420119000;0
20150101;144500;1420119900;21307,9
20150101;150000;1420120800;0
20150101;151500;1420121700;0
20150101;153000;1420122600;0
