#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality, correctness, completeness or quality of the information provided. Liability claims regarding damage caused by the use of any information provided, including any kind of information which is incomplete or incorrect,will therefore be rejected.
#file_info: --- Simulated load profile with synPRO --- sum profile for the simulated household group --- Number of households: 1 ---  --- For more information contact D.Fischer, David.Fischer@ise.fraunhofer.de
#time resolution: 15Min
#col_no;col_name;unit;category;comment
#001;YYYYMMDD;0;time;Date [human readable]
#002;hhmmss;0;time;Time [human readable]
#003;unixtimestamp;s;time;Elapsed seconds from 01-01-1970
#004;P_el;FALSE;FALSE;W;load_el;Sum of synthetic load profile for all electrical demand of the simulated activities
YYYYMMDD;hhmmss;unixtimestamp;P_el
20150101;0;1420066800;209,79
20150101;1500;1420067700;209,907
20150101;3000;1420068600;209,874
20150101;4500;1420069500;383,56
20150101;10000;1420070400;210,755
20150101;11500;1420071300;210,872
20150101;13000;1420072200;210,705
20150101;14500;1420073100;420,718
20150101;20000;1420074000;211,14
20150101;21500;1420074900;211,257
20150101;23000;1420075800;211,307
20150101;24500;1420076700;211,257
20150101;30000;1420077600;383,432
20150101;31500;1420078500;210,755
20150101;33000;1420079400;210,755
20150101;34500;1420080300;210,872
20150101;40000;1420081200;399,373
20150101;41500;1420082100;210,199
20150101;43000;1420083000;210,182
20150101;44500;1420083900;210,216
20150101;50000;1420084800;210,1
20150101;51500;1420085700;387,179
20150101;53000;1420086600;210,1
20150101;54500;1420087500;210,017
20150101;60000;1420088400;209,33
20150101;61500;1420089300;261,316
20150101;63000;1420090200;384,446
20150101;64500;1420091100;209,446
20150101;70000;1420092000;209,071
20150101;71500;1420092900;208,937
20150101;73000;1420093800;397,974
20150101;74500;1420094700;209,087
20150101;80000;1420095600;208,648
20150101;81500;1420096500;328,365
20150101;83000;1420097400;535,024
20150101;84500;1420098300;339,165
20150101;90000;1420099200;353,312
20150101;91500;1420100100;593,329
20150101;93000;1420101000;2606,94
20150101;94500;1420101900;1339,38
20150101;100000;1420102800;1585,15
20150101;101500;1420103700;1558,11
20150101;103000;1420104600;1704,24
20150101;104500;1420105500;2094,97
20150101;110000;1420106400;3550,53
20150101;111500;1420107300;1928,7
20150101;113000;1420108200;576,947
20150101;114500;1420109100;547,824
20150101;120000;1420110000;524,14
20150101;121500;1420110900;683,691
20150101;123000;1420111800;459,247
20150101;124500;1420112700;617,53
20150101;130000;1420113600;833,887
20150101;131500;1420114500;2680,02
20150101;133000;1420115400;717,329
20150101;134500;1420116300;894,142
20150101;140000;1420117200;1849,86
20150101;141500;1420118100;2673,26
20150101;143000;1420119000;512,639
20150101;144500;1420119900;801,003
20150101;150000;1420120800;607,109
20150101;151500;1420121700;619,967
20150101;153000;1420122600;815,311
20150101;154500;1420123500;789,836
20150101;160000;1420124400;741,38
20150101;161500;1420125300;563,647
20150101;163000;1420126200;556,172
20150101;164500;1420127100;740,85
20150101;170000;1420128000;411,19
20150101;171500;1420128900;411,14
20150101;173000;1420129800;728,476
20150101;174500;1420130700;694,382
20150101;180000;1420131600;789,396
20150101;181500;1420132500;631,946
20150101;183000;1420133400;1029,61
20150101;184500;1420134300;1084,92
20150101;190000;1420135200;1053,24
20150101;191500;1420136100;1181,27
20150101;193000;1420137000;1160,95
20150101;194500;1420137900;1286,21
20150101;200000;1420138800;1144,43
20150101;201500;1420139700;958,207
20150101;203000;1420140600;939,99
20150101;204500;1420141500;1265,82
20150101;210000;1420142400;1116,16
20150101;211500;1420143300;1101,03
20150101;213000;1420144200;1062,66
20150101;214500;1420145100;1079,06
20150101;220000;1420146000;875,49
20150101;221500;1420146900;847,424
20150101;223000;1420147800;567,057
20150101;224500;1420148700;553,549
20150101;230000;1420149600;882,142
