#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality, correctness, completeness or quality of the information provided. Liability claims regarding damage caused by the use of any information provided, including any kind of information which is incomplete or incorrect,will therefore be rejected.
#file_info: --- Simulated load profile with synPRO --- number of occupants: 4 --- socioeconomic factor: EFH --- climate region: TRY2010_4_Jahr.dat --- total energy demand: 149.596275030235 ---  Building TypeSFH_1 ---  --- For more information contact D.Fischer, David.Fischer@ise.fraunhofer.de
#time resolution: 15Min
#col_no;col_name;unit;category;comment
#001;YYYYMMDD;0;time;Date [human readable]
#002;hhmmss;0;time;Time [human readable]
#003;unixtimestamp;s;time;Elapsed seconds from 01-01-1970
#004;Q_htg;W;power;heating demand for space heating
#005;t_room;°C;temperature;room temperature
#006;t_amb;°C;temperature;ambient temperature
#007;heating_on;-;-;Value, which provides under-use of the heating temperature limit and the average outdoor temperature, the starting and shutdown signal for the heating system
#008;P_pvn;W/Wp;specific power;specific power of an PV-plant, which has an optimal slope and oriented to south
#009;simulated building	;SFH_1
#010;set point temperature heating day [°C];20
#011;set point temperature heating night [°C];20
#012;set point temperature cooling [°C];26
#013;orientation of the building [°];0
#014;climate region	;TRY2010_4_Jahr.dat
#015;number of houses	;1
YYYYMMDD;hhmmss;unixtimestamp;Q_htg;t_room;t_amb;heating_on
20150101;0;1420066800;4425,92;20,4;-2,6;1
20150101;1500;1420067700;4917,45;20,3;-2,925;1
20150101;3000;1420068600;5408,98;20,2;-3,25;1
20150101;4500;1420069500;5900,5;20,1;-3,575;1
20150101;10000;1420070400;6392,03;20;-3,9;1
20150101;11500;1420071300;6846,97;20;-4,075;1
20150101;13000;1420072200;7301,91;20;-4,25;1
20150101;14500;1420073100;7756,85;20;-4,425;1
20150101;20000;1420074000;8211,79;20;-4,6;1
20150101;21500;1420074900;8465,77;20;-4,425;1
20150101;23000;1420075800;8719,76;20;-4,25;1
20150101;24500;1420076700;8973,74;20;-4,075;1
20150101;30000;1420077600;9227,73;20;-3,9;1
20150101;31500;1420078500;9368,04;20;-3,75;1
20150101;33000;1420079400;9508,36;20;-3,6;1
20150101;34500;1420080300;9648,67;20;-3,45;1
20150101;40000;1420081200;9788,99;20;-3,3;1
20150101;41500;1420082100;9861,24;20;-3,2;1
20150101;43000;1420083000;9933,49;20;-3,1;1
20150101;44500;1420083900;10005,7;20;-3;1
20150101;50000;1420084800;10078;20;-2,9;1
20150101;51500;1420085700;10084,7;20;-2,675;1
20150101;53000;1420086600;10091,4;20;-2,45;1
20150101;54500;1420087500;10098,2;20;-2,225;1
20150101;60000;1420088400;10104,9;20;-2;1
